mes_sol;año_sol;desc_cnae;empresa_municipio;localidades_centro_trab;desc_sector;total_trab_sus;trab_hombres_sus;trab_mujeres_sus
11;2024;Actividades de los clubes deportivos;Paiporta;Paiporta;SERVICIOS;1;1;0
11;2024;Fabricación de carpintería metálica;Ribarroja del Turia;Riba-Roja De Túria;INDUSTRIA;7;6;1
11;2024;Mantenimiento y reparación de vehículos de motor;Aldaya;Aldaya;SERVICIOS;8;4;4
11;2024;Peluquería y otros tratamientos de belleza;Valencia;Valencia;SERVICIOS;1;0;1
11;2024;Construcción de otros proyectos de ingeniería civil n.c.o.p.;Albal;Albal;CONSTRUCIÓN;2;2;0
11;2024;Comercio al por menor de artículos deportivos en establecimientos especializados;Utiel;Utiel;SERVICIOS;1;1;0
11;2024;Actividades de agentes y corredores de seguros;Picanya;Picanya;SERVICIOS;1;0;1
11;2024;Establecimientos de bebidas;Requena;Requena;SERVICIOS;4;0;4
11;2024;Otra educación n.c.o.p.;Massanassa;Massanassa;SERVICIOS;5;1;4
11;2024;Establecimientos de bebidas;Aldaya;Aldaya;SERVICIOS;2;0;2
11;2024;Peluquería y otros tratamientos de belleza;Chiva;Chiva;SERVICIOS;4;2;2
11;2024;Establecimientos de bebidas;Paiporta;Paiporta;SERVICIOS;1;0;1
11;2024;Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco;Paiporta;Paiporta;SERVICIOS;1;1;0
11;2024;Establecimientos de bebidas;Sedaví;Sedaví;SERVICIOS;1;1;0
11;2024;Agencias de publicidad;Alfafar;Alfafar;SERVICIOS;5;0;5
11;2024;Fabricación de carpintería metálica;Massanassa;Massanassa;INDUSTRIA;6;5;1
11;2024;Actividades de medicina general;Catarroja;Catarroja;SERVICIOS;15;1;14
11;2024;Agencias de publicidad;Alfafar;Alfafar;SERVICIOS;2;0;2
11;2024;Actividades de medicina especializada;Catarroja;Catarroja;SERVICIOS;1;0;1
11;2024;Alojamientos turísticos y otros alojamientos de corta estancia;Valencia;Valencia;SERVICIOS;8;3;5
11;2024;Mantenimiento y reparación de vehículos de motor;Catarroja;Valencia;SERVICIOS;1;1;0
11;2024;Mantenimiento y reparación de vehículos de motor;Aldaya;Aldaya;SERVICIOS;2;2;0
11;2024;Reparación de equipos de comunicación;Alfafar;Alfafar;SERVICIOS;1;1;0
11;2024;Restaurantes y puestos de comidas;Massanassa;Massanassa;SERVICIOS;14;3;11
11;2024;Actividades odontológicas;Valencia;Valencia;SERVICIOS;1;0;1
11;2024;Fabricación de productos básicos de hierro, acero y ferroaleaciones;Ribarroja del Turia;Riba-Roja De Túria;INDUSTRIA;29;27;2
11;2024;Fabricación de otros muebles;Beniparrell;Beniparrell;INDUSTRIA;75;43;32
